DepYearMth_,CF% ISY,RASK ISC,RouteGroup
2022-08,107,116.9,OSL-TOS
2022-08,89,91.6,OSL-TRD
2022-08,81,77.6,TRD-BOO-TOS
2022-09,83,69.5,B 737 VEST
2022-09,97,98.8,OSL-AES
2022-09,98,107.3,OSL-ALF
2022-09,87,79.2,OSL-BGO
2022-09,99,109.2,OSL-BOO
2022-09,97,90.6,OSL-EVE
2022-09,87,84.6,OSL-HAU
2022-09,103,111.6,OSL-KKN
2022-09,97,93.5,OSL-KRS
2022-09,88,79.8,OSL-KSU
2022-09,98,103.9,OSL-LYR
2022-09,87,98.4,OSL-MOL
2022-09,99,92.8,OSL-SVG
2022-09,97,95.1,OSL-TOS
2022-09,92,84.7,OSL-TRD
2022-09,90,79.3,TRD-BOO-TOS
2022-10,79,63.7,B 737 VEST
2022-10,92,83.5,OSL-AES
2022-10,99,106.1,OSL-ALF
2022-10,93,83.4,OSL-BGO
2022-10,104,110.1,OSL-BOO
2022-10,102,96.8,OSL-EVE
2022-10,84,84.7,OSL-HAU
2022-10,99,98.7,OSL-KKN
2022-10,98,95.7,OSL-KRS
2022-10,84,79.3,OSL-KSU
2022-10,84,87.4,OSL-LYR
2022-10,90,94.8,OSL-MOL
2022-10,92,85.1,OSL-SVG
2022-10,98,95.0,OSL-TOS
2022-10,93,81.5,OSL-TRD
2022-10,91,82.2,TRD-BOO-TOS
